algorithm,instance_class,seed,num_jobs,num_machines,num_ops,valid,runtime_ms,population_size,generations,crossover_probability,mutation_probability,best_makespan,lower_bound,gap_pct,avg_utilization,min_utilization,max_utilization,critical_job
GA,balanced,4,10,6,51,True,194.054,40,80,0.85,0.15,120,85,41.176,0.7042,0.4917,0.925,4
SLGA,balanced,4,10,6,51,True,212.953,40,80,,,122,85,43.529,0.6995,0.5902,0.8361,8
Greedy ECT,balanced,5,10,6,45,True,0.214,,0,,,98,73,34.247,0.7483,0.6837,0.8061,9
GA,balanced,5,10,6,45,True,192.987,40,80,0.85,0.15,98,73,34.247,0.7483,0.6837,0.8061,9
SLGA,balanced,5,10,6,45,True,193.852,40,80,,,98,73,34.247,0.7483,0.6837,0.8061,9
Greedy ECT,high_variance,1,10,6,45,True,0.207,,0,,,299,183,63.388,0.6226,0.4415,0.913,2
GA,high_variance,1,10,6,45,True,197.802,40,80,0.85,0.15,299,183,63.388,0.6226,0.4415,0.913,2
SLGA,high_variance,1,10,6,45,True,202.913,40,80,,,299,183,63.388,0.6226,0.4415,0.913,2
Greedy ECT,high_variance,2,10,6,35,True,0.156,,0,,,346,181,91.16,0.421,0.2543,0.7832,6
GA,high_variance,2,10,6,35,True,158.354,40,80,0.85,0.15,253,181,39.779,0.6364,0.4111,0.9763,3
SLGA,high_variance,2,10,6,35,True,157.286,40,80,,,250,181,38.122,0.6,0.28,1.0,3
Greedy ECT,high_variance,3,10,6,46,True,0.2,,0,,,350,219,59.817,0.569,0.3971,0.88,9
GA,high_variance,3,10,6,46,True,190.828,40,80,0.85,0.15,339,219,54.795,0.6077,0.3009,1.0,3
SLGA,high_variance,3,10,6,46,True,223.498,40,80,,,340,219,55.251,0.5887,0.3324,0.8324,9
Greedy ECT,high_variance,4,10,6,51,True,0.205,,0,,,399,258,54.651,0.6696,0.5113,0.8271,8
GA,high_variance,4,10,6,51,True,202.873,40,80,0.85,0.15,399,258,54.651,0.6696,0.5113,0.8271,8
SLGA,high_variance,4,10,6,51,True,228.212,40,80,,,387,258,50.0,0.7033,0.4755,0.9897,10
Greedy ECT,high_variance,5,10,6,45,True,0.212,,0,,,329,170,93.529,0.5106,0.383,0.7052,7
GA,high_variance,5,10,6,45,True,197.302,40,80,0.85,0.15,254,170,49.412,0.6995,0.5276,0.8425,3
SLGA,high_variance,5,10,6,45,True,200.302,40,80,,,254,170,49.412,0.7159,0.5276,0.9449,6
Greedy ECT,machine_advantage,1,10,6,44,True,0.252,,0,,,73,45,62.222,0.7169,0.5205,0.8356,6
GA,machine_advantage,1,10,6,44,True,170.118,40,80,0.85,0.15,73,45,62.222,0.7169,0.5205,0.8356,6
SLGA,machine_advantage,1,10,6,44,True,204.195,40,80,,,73,45,62.222,0.7169,0.5205,0.8356,6
Greedy ECT,machine_advantage,2,10,6,38,True,0.192,,0,,,75,60,25.0,0.5644,0.3867,0.8533,2
GA,machine_advantage,2,10,6,38,True,149.029,40,80,0.85,0.15,69,60,15.0,0.6425,0.4783,0.942,2
SLGA,machine_advantage,2,10,6,38,True,190.533,40,80,,,70,60,16.667,0.6524,0.5571,0.7286,3
Greedy ECT,machine_advantage,3,10,6,42,True,0.184,,0,,,93,52,78.846,0.543,0.4194,0.7527,4
GA,machine_advantage,3,10,6,42,True,172.243,40,80,0.85,0.15,91,52,75.0,0.6117,0.4066,0.9231,4
SLGA,machine_advantage,3,10,6,42,True,184.684,40,80,,,79,52,51.923,0.7068,0.4684,0.9494,1
